INFO | Το Backup ξεκίνησε...
INFO | Ανάγνωση ρυθμίσεων...
SUCCESS | Οι ρυθμίσεις φορτώθηκαν.
INFO | Δημιουργία προσωρινού φακέλου...
SUCCESS | Ο προσωρινός φάκελος δημιουργήθηκε.
INFO | Backup SQL...
SUCCESS | SQL ολοκληρώθηκε.
INFO | Backup REGISTRY...
SUCCESS | REGISTRY ολοκληρώθηκε.
INFO | Backup CONFIGURATION FILES...
SUCCESS | CONFIGURATION FILES ολοκληρώθηκε.
INFO | Backup PROGRAMDATA...
SUCCESS | PROGRAMDATA ολοκληρώθηκε.
INFO | Backup FORM PATH...
SUCCESS | FORM PATH ολοκληρώθηκε.
INFO | Backup PRINTERS...
SUCCESS | PRINTERS ολοκληρώθηκε.
INFO | Δημιουργία Backup Report...
SUCCESS | Το Backup Report δημιουργήθηκε.
INFO | Δημιουργία ZIP...
SUCCESS | Το ZIP δημιουργήθηκε.
INFO | Καθαρισμός προσωρινών αρχείων...
SUCCESS | Ο καθαρισμός ολοκληρώθηκε.
SUCCESS | Το Backup ολοκληρώθηκε επιτυχώς.
INFO | Το Backup ξεκίνησε...
INFO | Ανάγνωση ρυθμίσεων...
SUCCESS | Οι ρυθμίσεις φορτώθηκαν.
INFO | Δημιουργία προσωρινού φακέλου...
SUCCESS | Ο προσωρινός φάκελος δημιουργήθηκε.
INFO | Backup SQL...
SUCCESS | SQL ολοκληρώθηκε.
INFO | Backup REGISTRY...
SUCCESS | REGISTRY ολοκληρώθηκε.
INFO | Backup CONFIGURATION FILES...
SUCCESS | CONFIGURATION FILES ολοκληρώθηκε.
INFO | Backup PROGRAMDATA...
SUCCESS | PROGRAMDATA ολοκληρώθηκε.
INFO | Backup FORM PATH...
SUCCESS | FORM PATH ολοκληρώθηκε.
INFO | Backup PRINTERS...
SUCCESS | PRINTERS ολοκληρώθηκε.
INFO | Δημιουργία Backup Report...
SUCCESS | Το Backup Report δημιουργήθηκε.
INFO | Δημιουργία ZIP...
SUCCESS | Το ZIP δημιουργήθηκε.
INFO | Καθαρισμός προσωρινών αρχείων...
SUCCESS | Ο καθαρισμός ολοκληρώθηκε.
SUCCESS | Το Backup ολοκληρώθηκε επιτυχώς.
INFO | Το Backup ξεκίνησε...
INFO | Ανάγνωση ρυθμίσεων...
SUCCESS | Οι ρυθμίσεις φορτώθηκαν.
INFO | Δημιουργία προσωρινού φακέλου...
SUCCESS | Ο προσωρινός φάκελος δημιουργήθηκε.
INFO | Backup SQL...
SUCCESS | SQL ολοκληρώθηκε.
INFO | Backup REGISTRY...
SUCCESS | REGISTRY ολοκληρώθηκε.
INFO | Backup CONFIGURATION FILES...
SUCCESS | CONFIGURATION FILES ολοκληρώθηκε.
INFO | Backup PROGRAMDATA...
SUCCESS | PROGRAMDATA ολοκληρώθηκε.
INFO | Backup FORM PATH...
SUCCESS | FORM PATH ολοκληρώθηκε.
INFO | Backup PRINTERS...
SUCCESS | PRINTERS ολοκληρώθηκε.
INFO | Δημιουργία Backup Report...
SUCCESS | Το Backup Report δημιουργήθηκε.
INFO | Δημιουργία ZIP...
SUCCESS | Το ZIP δημιουργήθηκε.
INFO | Καθαρισμός προσωρινών αρχείων...
SUCCESS | Ο καθαρισμός ολοκληρώθηκε.
SUCCESS | Το Backup ολοκληρώθηκε επιτυχώς.
INFO | Το Backup ξεκίνησε...
INFO | Ανάγνωση ρυθμίσεων...
SUCCESS | Οι ρυθμίσεις φορτώθηκαν.
INFO | Δημιουργία προσωρινού φακέλου...
SUCCESS | Ο προσωρινός φάκελος δημιουργήθηκε.
INFO | Backup SQL...
SUCCESS | SQL ολοκληρώθηκε.
INFO | Backup REGISTRY...
SUCCESS | REGISTRY ολοκληρώθηκε.
INFO | Backup CONFIGURATION FILES...
SUCCESS | CONFIGURATION FILES ολοκληρώθηκε.
INFO | Backup PROGRAMDATA...
SUCCESS | PROGRAMDATA ολοκληρώθηκε.
INFO | Backup FORM PATH...
SUCCESS | FORM PATH ολοκληρώθηκε.
INFO | Backup PRINTERS...
SUCCESS | PRINTERS ολοκληρώθηκε.
INFO | Δημιουργία Backup Report...
SUCCESS | Το Backup Report δημιουργήθηκε.
INFO | Δημιουργία ZIP...
SUCCESS | Το ZIP δημιουργήθηκε.
INFO | Καθαρισμός προσωρινών αρχείων...
SUCCESS | Ο καθαρισμός ολοκληρώθηκε.
SUCCESS | Το Backup ολοκληρώθηκε επιτυχώς.
